frame,vehicle_id,v_x1,v_y1,v_x2,v_y2,vehicle_type,bbox_area,detected,plate_detected,p_x1,p_y1,p_x2,p_y2,plate_text,individual_toll,total_toll
41,88,394,186,443,231,Car,26822,True,False,0,0,0,0,,500,1000
41,87,419,195,610,338,Car,2236,True,True,512,298,550,318,DETECTED,500,1000
42,88,393,185,442,230,Car,26616,True,False,0,0,0,0,,500,1000
42,87,419,195,610,338,Car,2185,True,True,512,297,550,317,DETECTED,500,1000
43,88,393,184,442,230,Car,26607,True,False,0,0,0,0,,500,1000
43,87,419,195,610,338,Car,2257,True,True,513,297,551,317,DETECTED,500,1000
44,88,393,184,442,231,Car,26179,True,True,415,217,427,224,DETECTED,500,1000
44,87,418,195,608,338,Car,2308,True,True,513,298,551,319,DETECTED,500,1000
45,88,393,184,442,231,Car,26410,True,False,0,0,0,0,,500,1000
45,87,419,195,608,338,Car,2304,True,True,513,298,550,319,DETECTED,500,1000
46,88,393,185,443,233,Car,26341,True,False,0,0,0,0,,500,1000
46,87,419,196,608,339,Car,2444,True,True,514,298,551,319,DETECTED,500,1000
47,88,394,186,444,234,Car,25857,True,False,0,0,0,0,,500,1000
47,87,419,196,607,339,Car,2498,True,True,515,299,552,320,DETECTED,500,1000
48,88,394,186,445,233,Car,26467,True,False,0,0,0,0,,500,1000
48,87,420,196,606,340,Car,2351,True,True,515,299,552,319,DETECTED,500,1000
49,88,395,185,445,231,Car,26537,True,False,0,0,0,0,,500,1000
49,87,420,195,607,340,Car,2200,True,True,515,299,553,321,DETECTED,500,1000
50,88,395,185,446,230,Car,26075,True,False,0,0,0,0,,500,1000
50,87,421,195,606,340,Car,2171,True,True,516,300,552,320,DETECTED,500,1000
51,88,396,185,447,228,Car,26600,True,False,0,0,0,0,,500,1000
51,87,421,195,606,340,Car,2037,True,True,515,299,553,320,DETECTED,500,1000
52,88,396,185,447,227,Car,26152,True,False,0,0,0,0,,500,1000
52,87,421,195,605,341,Car,1913,True,True,515,300,553,321,DETECTED,500,1000
53,88,398,187,450,229,Car,25916,True,False,0,0,0,0,,500,1000
53,87,421,197,606,342,Car,2385,True,True,516,300,553,320,DETECTED,500,1000
54,88,397,187,449,230,Car,26208,True,False,0,0,0,0,,500,1000
54,87,422,197,606,342,Car,2118,True,True,517,300,553,320,DETECTED,500,1000
55,87,422,197,606,342,Car,26207,True,True,518,301,554,320,DETECTED,500,1000
56,87,423,197,607,341,Car,26174,True,True,517,300,554,320,DETECTED,500,1000
57,87,423,196,607,341,Car,26538,True,True,517,301,555,322,DETECTED,500,1000
58,87,422,197,607,341,Car,26466,True,True,518,301,554,321,DETECTED,500,1000
59,87,422,197,607,342,Car,26439,True,True,518,301,555,321,DETECTED,500,1000
60,87,423,197,608,342,Car,26416,True,True,518,301,555,322,DETECTED,500,1000
61,87,423,197,608,341,Car,26220,True,True,518,301,556,322,DETECTED,500,1000
62,88,398,188,450,237,Car,26130,True,False,0,0,0,0,,500,1000
62,87,423,197,608,341,Car,2567,True,True,518,301,556,322,DETECTED,500,1000
63,88,398,188,450,237,Car,26211,True,False,0,0,0,0,,500,1000
63,87,424,197,608,342,Car,2554,True,True,517,302,556,323,DETECTED,500,1000
64,88,398,189,451,238,Car,26475,True,False,0,0,0,0,,500,1000
64,87,424,198,608,342,Car,2590,True,True,519,302,556,322,DETECTED,500,1000
65,88,399,189,451,239,Car,26478,True,False,0,0,0,0,,500,1000
65,87,424,198,609,343,Car,2611,True,True,520,302,557,322,DETECTED,500,1000
66,88,399,189,451,238,Car,26471,True,False,0,0,0,0,,500,1000
66,87,424,197,609,342,Car,2626,True,True,521,302,557,321,DETECTED,500,1000
67,88,399,189,452,239,Car,26587,True,False,0,0,0,0,,500,1000
67,87,424,197,609,342,Car,2636,True,True,521,301,557,321,DETECTED,500,1000
68,88,399,189,452,239,Car,26679,True,False,0,0,0,0,,500,1000
68,87,424,197,609,342,Car,2633,True,True,520,302,557,322,DETECTED,500,1000
69,88,399,189,452,239,Car,26652,True,False,0,0,0,0,,500,1000
69,87,423,197,609,342,Car,2669,True,True,520,302,557,322,DETECTED,500,1000
70,88,399,190,452,240,Car,26697,True,False,0,0,0,0,,500,1000
70,87,423,198,609,343,Car,2659,True,True,519,302,556,322,DETECTED,500,1000
71,88,399,190,452,240,Car,26551,True,False,0,0,0,0,,500,1000
71,87,423,198,609,343,Car,2663,True,True,518,302,556,323,DETECTED,500,1000
72,88,399,190,452,240,Car,26557,True,False,0,0,0,0,,500,1000
72,87,423,198,609,343,Car,2673,True,True,519,302,555,323,DETECTED,500,1000
73,88,398,190,452,241,Car,26682,True,False,0,0,0,0,,500,1000
73,87,423,198,609,343,Car,2707,True,True,519,303,556,324,DETECTED,500,1000
74,88,398,190,452,241,Car,26562,True,False,0,0,0,0,,500,1000
74,87,423,198,608,343,Car,2732,True,True,518,303,556,324,DETECTED,500,1000
75,88,398,191,452,242,Car,26592,True,False,0,0,0,0,,500,1000
75,87,423,198,608,344,Car,2787,True,True,518,303,556,324,DETECTED,500,1000
76,88,398,191,452,242,Car,26648,True,False,0,0,0,0,,500,1000
76,87,423,198,608,344,Car,2815,True,True,519,303,557,323,DETECTED,500,1000
77,88,398,191,453,244,Car,26898,True,False,0,0,0,0,,500,1000
77,87,423,198,608,344,Car,2950,True,True,519,304,556,324,DETECTED,500,1000
78,88,399,191,453,244,Car,26880,True,False,0,0,0,0,,500,1000
78,87,423,198,608,344,Car,2911,True,True,520,303,557,324,DETECTED,500,1000
79,88,399,191,454,243,Car,26738,True,False,0,0,0,0,,500,1000
79,87,424,198,609,344,Car,2892,True,True,520,302,557,323,DETECTED,500,1000
80,88,399,190,454,243,Car,26728,True,False,0,0,0,0,,500,1000
80,87,424,197,609,343,Car,2860,True,True,520,301,558,322,DETECTED,500,1000
81,88,399,190,454,243,Car,26588,True,False,0,0,0,0,,500,1000
81,87,424,197,609,343,Car,2883,True,True,521,302,558,322,DETECTED,500,1000
82,88,400,190,455,244,Car,26801,True,False,0,0,0,0,,500,1000
82,87,424,197,609,344,Car,3073,True,True,521,303,558,323,DETECTED,500,1000
83,88,399,191,456,245,Car,26903,True,False,0,0,0,0,,500,1000
83,87,424,198,609,345,Car,3221,True,True,521,303,558,324,DETECTED,500,1000
84,88,400,191,456,245,Car,26864,True,False,0,0,0,0,,500,1000
84,87,424,199,609,346,Car,3167,True,True,521,304,558,324,DETECTED,500,1000
85,88,399,191,456,246,Car,26800,True,False,0,0,0,0,,500,1000
85,87,425,199,610,346,Car,3162,True,True,521,304,559,325,DETECTED,500,1000
86,88,399,192,456,247,Car,26885,True,False,0,0,0,0,,500,1000
86,87,425,199,610,346,Car,3176,True,True,522,304,559,325,DETECTED,500,1000
