frame,vehicle_id,v_x1,v_y1,v_x2,v_y2,vehicle_type,bbox_area,detected,plate_detected,p_x1,p_y1,p_x2,p_y2,plate_text,individual_toll,total_toll
79,-1,0,0,0,0,None,0,False,False,0,0,0,0,AGX-929,0,500
80,-1,0,0,0,0,None,0,False,False,0,0,0,0,AGX-929,0,500
81,-1,0,0,0,0,None,0,False,False,0,0,0,0,AGX-929,0,500
82,100,117,363,252,460,Car,16226,True,True,174,438,203,453,AGX-929,500,500
83,100,116,362,254,464,Car,16503,True,True,174,438,204,452,AGX-929,500,500
84,100,115,361,255,466,Car,16419,True,True,174,438,204,453,AGX-929,500,500
85,100,123,360,277,470,Car,21943,True,True,174,439,203,455,AGX-929,500,500
86,100,117,361,272,472,Car,17451,True,True,176,439,205,456,AGX-929,500,500
87,100,113,361,265,473,Car,16074,True,True,177,439,206,455,AGX-929,500,500
88,100,112,360,261,473,Car,15751,True,True,177,439,206,456,AGX-929,500,500
89,100,112,360,259,473,Car,15930,True,True,177,439,207,456,AGX-929,500,500
90,100,113,359,259,472,Car,15854,True,True,178,440,208,457,AGX-929,500,500
91,100,113,358,258,472,Car,15792,True,True,178,441,209,458,AGX-929,500,500
92,100,113,358,257,472,Car,15789,True,True,179,440,210,457,AGX-929,500,500
93,100,113,358,258,472,Car,16184,True,True,180,440,210,457,AGX-929,500,500
94,100,114,358,258,471,Car,16132,True,True,180,439,211,456,AGX-929,500,500
95,100,115,358,259,471,Car,16113,True,True,180,439,210,455,AGX-929,500,500
96,100,115,358,260,471,Car,15918,True,True,182,440,211,456,AGX-929,500,500
97,100,115,359,260,472,Car,15984,True,True,182,440,212,456,AGX-929,500,500
98,100,115,360,261,473,Car,16026,True,True,183,440,213,457,AGX-929,500,500
99,100,115,359,261,472,Car,16507,True,True,184,440,215,457,AGX-929,500,500
100,100,115,360,262,474,Car,17090,True,True,184,440,216,458,AGX-929,500,500
101,100,115,361,263,477,Car,17902,True,True,185,442,217,459,AGX-929,500,500
102,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
103,100,113,354,264,455,Car,10523,True,True,185,443,219,454,AGX-929,500,500
104,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
105,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
106,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
107,100,113,362,268,471,Car,20156,True,True,186,452,219,470,AGX-929,500,500
108,100,112,365,269,479,Car,20563,True,True,186,453,219,472,AGX-929,500,500
109,-1,0,0,0,0,None,0,False,False,0,0,0,0,,0,500
110,100,111,366,270,485,Car,21156,True,True,188,456,221,475,AGX-929,500,500
111,100,111,365,273,487,Car,21766,True,True,189,455,222,476,AGX-929,500,500
112,100,113,364,281,489,Car,23674,True,True,189,455,223,475,AGX-929,500,500
